video_file,raw_landmarks_csv,video_hash,window_idx,start_frame,end_frame,start_ms,end_ms,window_size,window_overlap,right_hand,hand_move,hand_closer,hovering,daylight,hand_visible,out_of_sync,thumb_touch,index_touch,middle_touch,ring_touch,pinky_touch,any_touch
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,0,0,4,0,333,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,1,3,7,250,583,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,2,6,10,500,833,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,3,9,13,750,1083,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,4,12,16,1000,1333,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,5,15,19,1250,1583,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,6,18,22,1500,1833,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,7,21,25,1750,2083,5,2,1,0,0,0,0,1,0,0,0,1,0,0,1
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,8,24,28,2000,2333,5,2,1,0,0,0,0,1,0,0,1,0,0,0,1
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,9,27,31,2250,2583,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,10,30,34,2500,2833,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,11,33,37,2750,3083,5,2,1,0,0,0,0,1,0,1,0,0,0,0,1
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,12,36,40,3000,3333,5,2,1,0,0,0,0,1,0,1,0,0,0,0,1
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,13,39,43,3250,3583,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,14,42,46,3500,3833,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,15,45,49,3750,4083,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,16,48,52,4000,4333,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,17,51,55,4250,4583,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,18,54,58,4500,4833,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,19,57,61,4750,5083,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v15.mp4,v15.raw_landmarks.5239f79215d2b91d.csv,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,20,60,64,5000,5333,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
